,Kaub,Duisburg-Ruhrort,Emmerich,Erlecom,Nijmegen,Ophemert,St. Andries,Zaltbommel,Nijmegen (fixed layer)
954.5454545454545,1.8516092620158229,2.5474118702085073,2.5294039242696855,2.183069566667595,2.0998869757247247,2.268690421863098,2.5763268304161193,2.725243697118125,2.9842577795791234
969.6969696969697,1.880510324688834,2.5801289049382583,2.5617453270863977,2.2252033555862827,2.143029255320542,2.302574668424298,2.6017362087339135,2.7440716325642054,3.0273944451047603
984.8484848484849,1.9090007955794224,2.6126333231642973,2.5938506933850536,2.2668802524620446,2.185795848760346,2.336286681565739,2.6271059276989837,2.7629628634910075,3.070155706012055
1000.0,1.9370926918936735,2.6449297462637595,2.6257253380225047,2.3081123911275068,2.2281957326136315,2.3698304091259192,2.6524372818618787,2.781916623949428,3.112550530499796
1015.1515151515151,1.9647975035642407,2.677022626871479,2.6573743777325967,2.3489114023897786,2.270237536750524,2.403209652081655,2.677731513258773,2.8009321687445494,3.1545875404267774
1030.3030303030305,1.9921262238598654,2.708916257460901,2.6888027413491193,2.38928844211114,2.3119295626872454,2.4364280720943965,2.7029898142236366,2.8200087725713603,3.196275029636933
1045.4545454545455,2.0190893777966954,2.740614778369188,2.720015179359137,2.4292542173316383,2.353279800706292,2.4694891985643626,2.7282133300124025,2.839145729198668,3.2376209810606085
1060.6060606060605,2.0456970485386377,2.7721221853100593,2.7510162728396055,2.468819010596584,2.394295945849712,2.5023964352312285,2.753403161254151,2.8583423506978622,3.2786330826902415
1075.7575757575758,2.0719589019555853,2.8034423364138634,2.781810441825289,2.507992702636134,2.434985412874603,2.5351530663565187,2.778560366242976,2.877597966713447,3.3193187425194566
1090.909090909091,2.0978842094920926,2.8345789588308854,2.8124019531516598,2.5467847935302865,2.4753553502518137,2.5677622625197243,2.803685963082918,2.896911923772538,3.35968510252647
1106.060606060606,2.1234818694843893,2.8655356549306465,2.8427949278125344,2.5852044224800137,2.5154126532814436,2.600227086057256,2.828780931697249,2.9162835846307162,3.3997390517752955
1121.2121212121212,2.1487604270507665,2.8963159081271006,2.8729933478686767,2.623260386294244,2.5551639763921656,2.632550496170822,2.853846215712376,2.9357123276518595,3.439487238701724
1136.3636363636365,2.1737280926686813,2.926923088357037,2.9030010629404637,2.660961156692249,2.594615744685459,2.664735353729479,2.8788827242257247,2.9551975462197433,3.478936082645057
1151.5151515151515,2.1983927595414796,2.9573604572366854,2.9328217963148524,2.698314896512205,2.633774164780543,2.6967844257875555,2.9038913334661727,2.9747386481793914,3.518091784681345
1166.6666666666667,2.2227620198485445,2.9876311729193836,2.962459150694318,2.7353294749085135,2.67264523501096,2.7287003898387407,2.9288728883548343,2.9943350553062875,3.55696033780901
1181.818181818182,2.2468431799639808,3.0177382946752975,2.991916613613116,2.7720124816133485,2.7112347550194924,2.7604858378249633,2.953828203973374,3.013986202801728,3.5955475365334797
1196.969696969697,2.2706432747217624,3.0476847872124506,3.0211975625441334,2.8083712403312555,2.7495483347941194,2.7921432799171377,2.9787580669464004,3.0336915388126924,3.6338589858934895
1212.121212121212,2.2941690807982438,3.0774735247567455,3.050305269717676,2.8444128213298674,2.787591403184229,2.8236751480834594,3.0036632367439644,3.053450523974762,3.671900109968229
1227.2727272727273,2.317427129277017,3.1071072949072707,3.079242906671847,2.880144053284413,2.8253692159331045,2.8550837994596905,3.0285444469096907,3.073262630976693,3.7096761599012993
1242.4242424242425,2.3404237174554074,3.136588802281875,3.1080135485525635,2.915571534428927,2.8628868632597255,2.8863715195347064,3.0534024062196323,3.0931273441453686,3.7471922214744904
1257.5757575757575,2.363164919947109,3.16592067196684,3.1366201781798906,2.95070164306269,2.9001492770203976,2.917540525163557,3.0782377997765176,3.1130441590499354,3.784453222261856
1272.7272727272727,2.3856565991308107,3.1951054527833977,3.165065689896028,2.985540547456548,2.937161237478227,2.9485929674193256,3.1030512900437217,3.1330125821240253,3.8214639383920685
1287.878787878788,2.4079044149906315,3.224145620382885,3.19335289320913,3.0200942152000874,2.973927379706325,2.9795309342942238,3.127843517822921,3.153032130305017,3.858229000944907
1303.030303030303,2.429913834390468,3.253043580181426,3.221484516246076,3.0543684220274567,3.0104521996486158,3.0103564532595612,3.1526151031791154,3.1731023306893897,3.89475290200573
1318.1818181818182,2.451690139820996,3.2818016701442327,3.2494632090262843,3.088368760156679,3.04674005986033,3.041071493693499,3.177366646316412,3.193222720203267,3.9310400003999844
1333.3333333333335,2.473238437655005,3.3104221634288593,3.2772915465678065,3.1221006461744905,3.08279519494857,3.0716779691848655,3.202098728407705,3.2133928452873075,3.9670945271281166
1348.4848484848485,2.494563665943935,3.338907270896073,3.3049720318360953,3.155569328496431,3.118621716731843,3.1021777397206707,3.2268119123811614,3.2336122615951775,4.002920590519758
1363.6363636363635,2.5156706017859767,3.367259143496399,3.332507098545085,3.1887798944295564,3.1542236191360775,3.132572613764442,3.251506743666208,3.2538805337048577,4.038522181124685
1378.787878787879,2.5365638682937215,3.395479874539778,3.359899113819544,3.2217372768631387,3.189604782843336,3.162864350231966,3.2761837509015184,3.2741972348421107,4.0739031763567395
1393.939393939394,2.5572479411873124,3.423571501855299,3.387150380726997,3.254446260610794,3.2247689797082897,3.1930546603705525,3.3008434466073053,3.2945619466154614,4.109067344905766
1409.090909090909,2.57772715503702,3.4515360098474708,3.4142631406869834,3.286911488425864,3.259719876956466,3.2231452095475674,3.3254863278241062,3.3149742587621054,4.144018350931561
1424.2424242424242,2.598005709177449,3.4793753314550186,3.441239575764816,3.319137466710141,3.294461041177253,3.253137618953474,3.3501128767200186,3.335433768904161,4.178759758052798
1439.3939393939395,2.618087673313961,3.5070913500178436,3.4680818108565608,3.351128570934728,3.3289959421237754,3.283033467224391,3.374723561168289,3.355940082314752,4.21329503314303
1454.5454545454545,2.637976992840346,3.5346859010573506,3.4947919157714744,3.382889050790414,3.3633279563309246,3.3128342919887297,3.399318835296972,3.376492811693428,4.247627549945046
